trial_number,semiprime_N,factor_p,factor_q,bit_size,linear_operations,entropic_operations,operations_saved,speedup_ratio,linear_rank,entropic_rank,rank_improvement,time_seconds
1,5334769350123061,57109883,93412367,53,6635520,3558024,3077496,0.4637912326388889,-1,-1,0,24.10732412338257
2,6546929929343971,53612081,122116691,53,7372800,3953360,3419440,0.4637912326388889,-1,-1,0,26.08851671218872
3,10404466426212013,79187677,131389969,54,9216000,4941700,4274300,0.4637912326388889,-1,-1,0,34.83242893218994
4,12597710989089271,105707611,119175061,54,10137600,5435870,4701730,0.4637912326388889,-1,-1,0,36.7501802444458
5,2704556281801483,47210281,57287443,52,4700160,2520267,2179893,0.4637912326388889,-1,-1,0,17.266921043395996
6,4037619481559701,33655357,119969593,52,5370364,3113271,2257093,0.4202867813056992,85244,-1,85245,19.966813802719116
7,5865985804956187,70702007,82967741,53,7004160,3755692,3248468,0.4637912326388889,-1,-1,0,25.187438488006592
8,3300261644487949,56692609,58213261,52,5253120,2816769,2436351,0.4637912326388889,-1,-1,0,19.162989139556885
9,3363712280055839,50370961,66778799,52,5253120,2816769,2436351,0.4637912326388889,-1,-1,0,18.691290616989136
10,5000000126017639,41506039,120464401,53,6451200,3459190,2992010,0.4637912326388889,-1,-1,0,23.135536193847656
11,5291193013489069,54115319,97776251,53,6635520,3558024,3077496,0.4637912326388889,-1,-1,0,23.80447220802307
12,5174055237650213,52112339,99286567,53,6543360,3508607,3034753,0.4637912326388889,-1,-1,0,24.07170820236206
13,10471034300809361,79489213,131728997,54,9308160,4991319,4316841,0.46376953125,-1,-1,0,34.483851194381714
14,3334595954373637,39770741,83845457,52,5253120,2816883,2436237,0.46376953125,-1,-1,0,20.091004848480225
15,3214334219631527,39619513,81130079,52,5160960,2767464,2393496,0.46376953125,-1,-1,0,19.255995512008667
16,5608453807462391,57657469,97271939,53,6819840,3657006,3162834,0.46376953125,-1,-1,0,25.019129991531372
